Account,Token Account,Quantity,Percentage
45umWiCQwEkvuqWJbUet1axkKQWnycGXFncqDTKjGj7m,G6QBBQN1pz3GcJxgaU7ajEHTBX2PHpeojdgMXHfz46sW,511412.431501506,0.06
4XHYBY6jpfRBL6FjZzpBiuTQbupju38L4MsuQZRzVkV5,GMSQs9zMwpeCibo12X2BTSvG7vYakUcoKxawWEemRZVd,493826.028071268,0.05
BJK1YcZz5HkZMMgx2cRH7rMTsqdAGRqVSSxBz9DXdutb,CBWBHLCRsyDWnHKtB6erQh69mqS7gc2Zh78Z9BSK4Wd7,492456.38035702,0.05
bx2HnmCoiUpYuyAn88tmZMC5FksfuZnXXbME161MxrK,BDfyPsYTfSmCemf8xKBdiBeELgTjVa8is5A2a23PqwEi,485222.787907594,0.05
DU8W6ritu6LuDm6DFkVtrtVyW8KEruMhHagvjxg4DRys,axr5uTGVKcX2cXYcqR3hz2xp25DZiVhJdNmEnYnaxw3,462496.920207291,0.05
8ggmNcYeTjvcwfLSvXw84AJvMz9wP84Y8U3PsQ9RwJvA,AuB3PjwKR8jZjn6ydkUgV4uGJRYvE6YmLk1aqGfmotRJ,446916.237129167,0.05
qWMFUtya5XVgRxbERuEwUktAa2HzppaitSDY9KdEvPb,HKH7wPWEGQE6ucG9DvvzjhMkMn9NLw3AfSHGub5SryNM,422102.604515074,0.05
AzB1Tv4yhzxUZZmC8MpwfufQXKvX9eTzXro9AgpD5pEx,SsRArARJaFnhV8Jzj57vPDYRsZz7dbMDkqbRJySzPxU,375908.555541985,0.04
Bx2dKFhsmbzMuY49PjDt7LD9QtN98BqkATxDgrz9QvoF,Cp18WdJRKKo29PFpRy3pnKa48zE7JN5jPXGsptz7BJ8r,374609.829497391,0.04
AYpWLdSE5YfCc8gKFa8ixdo2p83tubhFNiBk3whJ8LBx,26kuvEppje2rQp6x8TBVNBdv1aNqYBs48i5kzGjYiSuX,361946.893207116,0.04
7NTGyxeCgGeW3xhS8kCgBrWRgVfMzRk4D5e1J2WFtiyp,AKwQjRAyRGpH8EANHwUNMZgiz3J4dU17vQyprVts7ivG,358150.499039127,0.04
5A9QySP7yu6cENXHoZi8vZtnbJBvMow187zr6vQFXGhF,29VGAdqijXsLGJgPFHpTZrhcabxPURkpwdtvd1rwbj2d,352726.988958213,0.04
2q6MxAsgFNsopARzxGmEe9TcS2XB5FL7ExV52WtpqXcQ,4ho1GkfJjge3vxwC7d4UF85iLPmCmpwUdrbk9mzLrqg1,349946.599793887,0.04
6sfYQUdG5aLMxgquegXTFREc2HEtu2NLJceVpBWX4ehd,JBCvWF9VFRKdbqwPz7ms4QnfVXjecZ1zuhz6i7f5jrCv,348090.687260607,0.04
3UXc9ADYwsVf5pNTWhm4JK4zgSKRNHAWXmMDBfVS3hPy,7Ycb9LVc5V3KgySbsvjUZzcCHFVFygcmTnx2u6PQ796T,346695.580818494,0.04
7XaYswEFPUtMUDhPuDdBXF9zT8mz23PzVygXdaBLosQQ,6tZDik3CLf9oSWHbNLxEKjwK6EjCrcnbSUQsRWH6gnAC,345936.306565053,0.04
vN3iFtXYDVB2CAfqCAqgZ9YP2eGAMoLDrCK1LRv6K29,6Tq1sARRf3T57oAvzAg6ZX3CaEXdrwLst3b1RZVLixC,345722.892386054,0.04
5VDo6tjJWT244fDDm43bzHqoVgen8kQZpYJMPocPKKfH,5dYvPbRHrubpAvqCqJPXQkEHq7BM3QBbrSbz9pkVavw6,321555.023001615,0.03
8BKBFagZh4XYayj1kMr5x8VZEELvZcidm7VjgkTHBv3n,AaL8FXiTo885YTEdxvNfz8tMMJeff6mU3vn13HFbMViw,290522.788185406,0.03
Hs9Ve3duHiTQEHUxbCLLVz16ypmTgqoFrGFFheLrs2YW,C6uUBQfHS46hoRFtvdR935BVXmQUSMp3tbsEShR5usjj,288912.811519188,0.03
7sKBcFaivBDAEcxxwCtoQH6KDwB9B9h7tLwoipAaGegC,835NowS3fWc2c9G1SJ8RgrfaWUpsJyQtvyVUwFDDZe9y,281592.834229814,0.03
5BefXh93pfQNfbuvk3Qc5dBxbarDajxPPbuRKtnPhESc,5gNyLC1qKH8aCp7CSV3wnR99Gt84jQpBBVDGTrUKniXn,273404.162526473,0.03
